"ID","name","category","IAA","NAA","tir1_IAA","tir1_NAA","tir1vsSp","tir1vsSp_i","tir1vsSp_n"
"MapolyY_A0044","MpABI1A","ABA","none","none","none","none","up","up","up"
"MapolyY_B0005","MpHSF3","TF","none","none","none","none","up","up","up"
"MapolyY_B0017","MpBPC2","TF","none","none","none","none","none","none","up"
"MapolyY_B0018","MpbHLH46","TF","none","none","none","none","up","up","up"
"MapolyY_B0018","MpMYC2","JA","none","none","none","none","up","up","up"
"MapolyY_B0021","MpGATA6","TF","none","none","none","none","up","up","up"
"Mapoly0001s0020","MpTrihelix1","TF","none","none","none","none","none","none","none"
"Mapoly0001s0021","MpbZIP1","TF","none","none","none","none","none","none","none"
"Mapoly0001s0058","ACS-related","ethylene","none","up","none","none","none","up","none"
"Mapoly0001s0061","MpR2R3-MYB1","TF","none","none","none","none","none","none","none"
"Mapoly0001s0192","MpCDF","TF","none","none","none","none","none","none","none"
"Mapoly0001s0226","MpEIN2","ethylene","none","down","none","none","down","down","down"
"Mapoly0001s0259","MpbHLH27","TF","none","none","none","none","none","down","none"
"Mapoly0001s0284","MpETR2","ethylene","none","none","none","none","none","none","none"
"Mapoly0001s0298","MpTCP2","TF","none","none","none","none","none","none","none"
"Mapoly0001s0312","MpTrihelix2","TF","none","none","none","none","none","none","none"
"Mapoly0001s0341","MpERF1","TF","none","none","none","down","none","none","none"
"Mapoly0001s0346","MpILR","auxin","none","down","none","none","none","none","none"
"Mapoly0001s0385","MpGRAS1","TF","none","none","none","none","none","none","none"
"Mapoly0001s0480","MpRR-MYB1","TF","none","down","none","none","none","down","none"
"Mapoly0001s0537","MpGID1L1","GA","none","down","none","none","none","down","none"
"Mapoly0010s0220","MpYUC4","auxin","none","none","none","none","none","none","none"
"Mapoly0100s0033","MpbHLH41","TF","none","none","none","none","down","down","down"
"Mapoly0101s0006","MpRRB","TF","none","none","none","none","none","up","none"
"Mapoly0101s0006","Type-B RR","cytokinin","none","none","none","none","none","up","none"
"Mapoly0101s0068","MpGARP7/MpLUX","TF","none","down","none","none","none","down","none"
"Mapoly0102s0028","MpAThook1","TF","none","none","none","none","up","up","up"
"Mapoly0103s0012","MIR166a","MIR","none","none","none","none","none","none","up"
"Mapoly0103s0059","MpLOG","cytokinin","none","none","none","none","none","none","none"
"Mapoly0104s0012","MpTZF","TF","none","none","none","none","none","none","none"
"Mapoly0104s0036","Cytokinin receptors","cytokinin","none","none","none","none","none","none","down"
"Mapoly0107s0039","MpTrihelix24","TF","none","none","none","none","none","none","none"
"Mapoly0107s0048","MpAUX1","auxin","none","none","none","none","up","up","up"
"Mapoly1089s0002","MpR2R3-MYB21","TF","up","up","none","none","none","down","up"
"Mapoly0011s0011","MpTrihelix8","TF","none","none","none","none","none","none","up"
"Mapoly0011s0037","MpASLBD4","TF","none","none","none","none","none","none","none"
"Mapoly0011s0057","MpTrihelix9","TF","none","none","none","none","none","none","none"
"Mapoly0011s0096","MpSnRK2B","ABA","none","none","none","up","none","none","none"
"Mapoly0011s0122","MpC2H2-3","TF","none","none","none","none","none","none","none"
"Mapoly0011s0161","MpMADS2","TF","none","none","none","none","none","none","none"
"Mapoly0011s0167","MpB3-1/MpARF2","TF","none","none","none","none","none","down","up"
"Mapoly0011s0167","MpARF2","auxin","none","none","none","none","none","down","up"
"Mapoly0011s0176","MpNAC3","TF","none","none","none","up","none","none","up"
"Mapoly0011s0205","MpHSF1","TF","none","none","none","none","up","up","up"
"Mapoly0110s0001","MpC2H2-16","TF","none","none","none","none","none","none","none"
"Mapoly0110s0028","MpBBX5","TF","none","down","none","none","none","down","none"
"Mapoly0113s0006","MAX2","strigolactone","none","none","none","none","none","none","none"
"Mapoly0113s0034","MpLFY","TF","none","none","none","none","none","none","none"
"Mapoly0113s0037","MpE2F","TF","none","up","none","none","none","none","none"
"Mapoly0113s0052","MpTrihelix25","TF","none","none","none","none","none","none","none"
"Mapoly0113s0058","MpTrihelix26","TF","none","none","none","none","none","none","none"
"Mapoly0114s0007","MpRR-MYB4","TF","none","up","none","none","none","none","none"
"Mapoly0114s0037","MpbHLH23","TF","none","none","none","none","up","up","up"
"Mapoly0115s0036","MpABCB5","auxin","none","none","none","none","none","none","none"
"Mapoly0115s0048","MpGARP4/MpPHR2","TF","none","up","none","none","none","none","none"
"Mapoly1185s0001","MpASLBD20","TF","none","none","none","none","none","none","none"
"Mapoly0119s0041","MpGARP6/MpHSR","TF","none","down","none","none","none","none","up"
"Mapoly0119s0048","MpTrihelix27","TF","none","none","none","none","none","none","up"
"Mapoly0012s0026","MpbHLH25","TF","none","none","none","none","none","none","none"
"Mapoly0012s0089","MpIPT2","cytokinin","none","none","none","none","none","none","none"
"Mapoly0012s0090","MpHD4/MpBELL3","TF","none","none","none","none","none","none","none"
"Mapoly0012s0172","MpbZIP3","TF","none","none","none","none","none","none","none"
"Mapoly0012s0202","MpbHLH24","TF","none","down","none","none","none","none","up"
"Mapoly0120s0051","MpDP2","TF","none","none","none","none","none","none","none"
"Mapoly0122s0007","MpPRR","TF","none","down","none","none","none","none","none"
"Mapoly0122s0020","MpbZIP13","TF","none","up","none","none","none","down","none"
"Mapoly0122s0029","MpBBX6","TF","none","up","none","none","none","down","none"
"Mapoly0122s0030","MpTrihelix28","TF","none","none","none","none","none","none","none"
"Mapoly0123s0012","MpR2R3-MYB18","TF","none","none","none","none","none","down","none"
"Mapoly0124s0014","MpCKX1 cytokinin oxidase1","cytokinin","none","none","none","down","none","none","none"
"Mapoly0124s0021","MpbHLH1","TF","none","none","none","none","none","none","none"
"Mapoly0124s0064","MpERF19","TF","none","none","none","none","none","none","none"
"Mapoly0125s0019","MpDP3","TF","none","none","none","none","none","none","none"
"Mapoly0126s0029","MpbHLH38","TF","none","none","none","none","none","none","none"
"Mapoly0127s0005","MpYUC1","auxin","none","none","none","none","none","none","none"
"Mapoly0129s0052","MpAThook2","TF","none","none","none","none","none","none","none"
"Mapoly0013s0010","MpncIAA","auxin","none","down","none","none","none","none","none"
"Mapoly0013s0027","MpHD5/MpBELL4","TF","none","none","none","none","none","none","none"
"Mapoly0013s0048","MpHMGbox1","TF","none","up","none","none","none","none","none"
"Mapoly0013s0054","MpBZR1","TF","none","none","none","none","none","none","none"
"Mapoly0013s0062","MpARID1","TF","none","none","none","none","none","none","none"
"Mapoly0013s0114","MpGID1L4","GA","none","none","none","none","none","down","none"
"Mapoly0013s0116","MpGID1L5","GA","none","none","none","none","none","none","up"
"Mapoly0013s0135","MpTrihelix10","TF","none","none","none","none","none","none","none"
"Mapoly0013s0145","Mp1R-MYB5","TF","none","up","none","none","none","none","none"
"Mapoly0013s0153","MpAO","ABA","none","none","none","none","none","none","none"
"Mapoly0013s0167","MpbHLH51","TF","none","none","none","none","none","none","none"
"Mapoly0013s0172","MpIDDL1","TF","none","up","none","none","none","none","up"
"Mapoly0130s0002","MpKOL3","GA","none","none","none","none","none","none","none"
"Mapoly0130s0003","MpKOL2","GA","none","none","none","none","none","none","none"
"Mapoly0130s0023","MpTrihelix29","TF","none","none","none","none","none","down","none"
"Mapoly0130s0030","MpbZIP14","TF","none","none","none","none","none","none","none"
"Mapoly0130s0035","MpTrihelix30","TF","none","none","none","none","none","none","up"
