0,Id,IdType,description
Mapoly0001s0001,GO:0006397 PF01348,GO PFAM,mRNA processing Type II intron maturase
Mapoly0001s0002,PF00628 GO:0005515,PFAM GO,PHD-finger protein binding
Mapoly0001s0004,PTHR12459:SF1 PTHR12459,PANTHER PANTHER,gb def: k02g10.3.p [caenorhabditis elegans] UNCHARACTERIZED
Mapoly0001s0005,PTHR23272,PANTHER,BED FINGER-RELATED
Mapoly0001s0006,PTHR23272,PANTHER,BED FINGER-RELATED
Mapoly0001s0007,PF00190 GO:0045735 PTHR31238,PFAM GO PANTHER,Cupin nutrient reservoir activity FAMILY NOT NAMED
Mapoly0001s0009,PTHR10540 KOG1556 K03038 PTHR10540:SF7 GO:0005515 PF13012 PF01398,PANTHER KOG KEGGORTH PANTHER GO PFAM PFAM,"EUKARYOTIC TRANSLATION INITIATION FACTOR 3 SUBUNIT F-RELATED 26S proteasome regulatory complex, subunit RPN8/PSMD7 26S proteasome regulatory subunit N8 26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 7 protein binding Maintenance of mitochondrial structure and function JAB1/Mov34/MPN/PAD-1 ubiquitin protease"
Mapoly0001s0010,PF10555 GO:0016021 PTHR22926:SF6 GO:0008963 PTHR22926 PF00953,PFAM GO PANTHER GO PANTHER PFAM,Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1 integral to membrane nan phospho-N-acetylmuramoyl-pentapeptide-transferase activity PHOSPHO-N-ACETYLMURAMOYL-PENTAPEPTIDE-TRANSFERASE Glycosyl transferase family 4
Mapoly0001s0011,K02219 PF01111 GO:0016538 KOG3484 GO:0007049 PTHR23415,KEGGORTH PFAM GO KOG GO PANTHER,"cyclin-dependent kinase regulatory subunit CKS1 Cyclin-dependent kinase regulatory subunit cyclin-dependent protein serine/threonine kinase regulator activity Cyclin-dependent protein kinase CDC28, regulatory subunit CKS1, and related proteins cell cycle CYCLIN-DEPENDENT KINASES REGULATORY SUBUNIT/60S RIBOSOME SUBUNIT BIOGENESIS PROTEIN NIP7"
Mapoly0001s0012,GO:0071203 PTHR15691:SF6 PTHR15691 PF10266 KOG3666,GO PANTHER PANTHER PFAM KOG,WASH complex PROTEIN KIAA0196 PROTEIN KIAA0196 Hereditary spastic paraplegia protein strumpellin Uncharacterized conserved protein
Mapoly0001s0014,GO:0005840 GO:0003723 KOG3181 PF00189 GO:0003735 K02985 PTHR11760 PF07650 GO:0006412,GO GO KOG PFAM GO KEGGORTH PANTHER PFAM GO,"ribosome RNA binding 40S ribosomal protein S3 Ribosomal protein S3, C-terminal domain structural constituent of ribosome small subunit ribosomal protein S3e 30S/40S RIBOSOMAL PROTEIN S3 KH domain translation"
Mapoly0001s0015,PTHR13555:SF28 PTHR13555,PANTHER PANTHER,nan C2H2 ZINC FINGER CGI-62-RELATED
Mapoly0001s0017,PTHR11618:SF4 GO:0006355 PF00382 GO:0006352 PTHR11618 GO:0008270 KOG1598 GO:0000126 PF07741 GO:0017025 GO:0006384,PANTHER GO PFAM GO PANTHER GO KOG GO PFAM GO GO,"TRANSCRIPTION FACTOR IIIB regulation of transcription, DNA-dependent Transcription factor TFIIB repeat DNA-dependent transcription, initiation TRANSCRIPTION INITIATION FACTOR IIB-RELATED zinc ion binding Transcription initiation factor TFIIIB, Brf1 subunit transcription factor TFIIIB complex Brf1-like TBP-binding domain TBP-class protein binding transcription initiation from RNA polymerase III promoter"
